Characteristic,Good Outcome,Poor Outcome,P-value
Number of patients,1202,746,Outcome,14.68 ± 22.61,631.42 ± 448.34,0.000
Gender,0: 84.6%, 1: 15.4%, 0: 77.3%, 1: 22.7%,0.000
First Visit Age,22.60 ± 21.58,22.26 ± 23.12,0.746
CI nd U,0: 99.4%, 1: 0.6%, 0: 98.5%, 1: 1.5%,0.079
Lymphocytes Percentage preclinical,37.86 ± 14.45,40.34 ± 15.16,0.000
Lymphocytes Percentage acute,32.37 ± 14.25,34.65 ± 13.91,0.001
Lymphocytes Percentage chronic,35.37 ± 9.29,36.50 ± 11.95,0.019
Neutrophils Percentage acute,59.48 ± 15.77,56.92 ± 14.85,0.000
Neutrophils Percentage preclinical,51.40 ± 15.89,48.94 ± 16.49,0.001
Neutrophils Percentage chronic,54.34 ± 10.18,53.71 ± 12.76,0.229
Monocytes Percentage acute,6.23 ± 1.08,6.23 ± 1.04,0.937
Monocytes Percentage preclinical,6.66 ± 1.03,6.70 ± 0.82,0.359
Monocytes Percentage chronic,6.53 ± 0.77,6.53 ± 1.22,0.980
Mean Corpuscular Hemoglobin Concentration acute,336.49 ± 12.49,338.59 ± 12.85,0.000
Mean Corpuscular Hemoglobin Concentration chronic,333.82 ± 4.53,334.04 ± 8.74,0.457
Mean Corpuscular Hemoglobin Concentration preclinical,343.26 ± 6.90,343.88 ± 7.38,0.058
Platelet Count acute,260.29 ± 69.51,258.81 ± 62.12,0.634
Platelet Count preclinical,252.05 ± 52.40,255.30 ± 50.00,0.176
Platelet Count chronic,253.50 ± 31.29,257.54 ± 57.28,0.044
White Blood Cell Count chronic,8.44 ± 1.00,8.67 ± 2.31,0.003
White Blood Cell Count acute,10.06 ± 3.20,9.56 ± 2.56,0.000
White Blood Cell Count preclinical,8.65 ± 2.05,8.52 ± 1.81,0.179
Mean Corpuscular Hemoglobin chronic,28.93 ± 1.41,28.79 ± 1.75,0.064
Mean Corpuscular Hemoglobin acute,28.60 ± 2.03,28.64 ± 2.04,0.686
Mean Corpuscular Hemoglobin preclinical,28.47 ± 1.63,28.30 ± 1.73,0.027
Mean Corpuscular Volume preclinical,83.11 ± 5.43,82.44 ± 5.83,0.010
Mean Corpuscular Volume acute,85.02 ± 6.22,84.57 ± 5.81,0.113
Mean Corpuscular Volume chronic,86.62 ± 4.32,86.02 ± 5.27,0.006
Hemoglobin preclinical,128.17 ± 7.15,127.20 ± 8.29,0.006
Hemoglobin chronic,130.22 ± 4.78,129.84 ± 7.44,0.171
Hemoglobin acute,129.24 ± 9.96,129.41 ± 7.91,0.690
Eosinophils Percentage preclinical,2.74 ± 2.57,2.74 ± 2.41,0.982
Eosinophils Percentage acute,1.71 ± 2.28,1.60 ± 1.71,0.217
Eosinophils Percentage chronic,2.28 ± 1.31,2.29 ± 1.87,0.874
Basophils Percentage preclinical,0.27 ± 0.13,0.27 ± 0.14,0.872
Basophils Percentage chronic,0.30 ± 0.13,0.30 ± 0.21,1.000
Basophils Percentage acute,0.22 ± 0.19,0.22 ± 0.17,0.781
Absolute Eosinophil Count acute,0.15 ± 0.24,0.14 ± 0.16,0.215
Absolute Eosinophil Count preclinical,0.22 ± 0.33,0.23 ± 0.31,0.729
Absolute Eosinophil Count chronic,0.18 ± 0.11,0.18 ± 0.16,0.513
Absolute Lymphocyte Count preclinical,3.13 ± 1.27,3.35 ± 1.44,0.001
Absolute Lymphocyte Count acute,2.96 ± 1.30,3.03 ± 1.29,0.268
Absolute Lymphocyte Count chronic,2.68 ± 0.85,2.85 ± 1.10,0.000
Mean Platelet Volume preclinical,9.55 ± 0.84,9.51 ± 0.79,0.328
Mean Platelet Volume chronic,9.10 ± 0.87,9.21 ± 1.21,0.023
Mean Platelet Volume acute,9.85 ± 1.14,9.60 ± 1.10,0.000
Platelet Distribution Width preclinical,11.88 ± 1.47,11.75 ± 1.60,0.063
Platelet Distribution Width acute,12.02 ± 2.01,11.85 ± 1.79,0.055
Platelet Distribution Width chronic,12.05 ± 1.16,12.05 ± 1.74,0.973
Eosinophil Count Absolute chronic,176.85 ± 87.01,183.78 ± 140.98,0.180
Eosinophil Count Absolute acute,126.66 ± 129.69,124.36 ± 126.04,0.700
Eosinophil Count Absolute preclinical,227.46 ± 179.57,246.76 ± 272.94,0.060
CR eactive Protein acute,10.21 ± 10.95,8.95 ± 8.22,0.007
CR eactive Protein chronic,5.39 ± 4.84,6.47 ± 8.81,0.000
CR eactive Protein preclinical,9.01 ± 7.67,8.81 ± 7.16,0.565
Immunoglobulin E acute,149.91 ± 107.06,166.20 ± 113.25,0.001
Immunoglobulin E chronic,218.43 ± 162.64,219.37 ± 444.66,0.947
Free Thyroxine acute,15.40 ± 0.76,15.31 ± 0.79,0.012
Free Thyroxine chronic,16.15 ± 0.83,16.21 ± 1.04,0.147
SMRNP chronic,1.24 ± 1.70,1.24 ± 0.68,0.987
SMRNP acute,1.32 ± 0.70,1.38 ± 0.59,0.061
Anti SSA acute,1.11 ± 2.90,1.26 ± 4.29,0.364
Anti SSA chronic,1.29 ± 2.79,1.40 ± 2.79,0.400
Anti Jo 1 chronic,1.07 ± 0.99,1.06 ± 0.45,0.909
Anti Jo 1 acute,0.82 ± 0.44,0.84 ± 0.43,0.356
Nucleosome acute,1.14 ± 0.75,1.12 ± 0.72,0.528
Nucleosome chronic,0.53 ± 0.43,0.54 ± 0.46,0.388
Ribosomal PP rotein chronic,1.15 ± 0.23,1.30 ± 3.20,0.117
Ribosomal PP rotein acute,1.08 ± 0.27,1.10 ± 0.29,0.217
Ro 52 acute,1.79 ± 2.05,1.91 ± 4.32,0.425
Ro 52 chronic,1.79 ± 1.92,1.92 ± 3.52,0.304
