,var1,var2,correlation,p_value,significant
0,SMRNP_Avg_chronic,SMRNP_Avg_acute,0.4199697400021458,1.837740986593924e-14,False
1,SMRNP_Avg_acute,SMRNP_Avg_chronic,0.4199697400021458,1.837740986593924e-14,False
2,Ro52_Avg_acute,Ro52_Avg_chronic,-0.2620042329549674,3.5146529830056444e-06,False
3,Ro52_Avg_chronic,Ro52_Avg_acute,-0.26200423295496733,3.5146529830056525e-06,False
4,MeanCorpuscularVolume_Avg_acute,MeanCorpuscularVolume_Avg_chronic,0.6856764878143399,1.0765698468795157e-43,False
5,MeanCorpuscularVolume_Avg_acute,MeanCorpuscularVolume_Avg_preclinical,0.7032729033832502,8.202991210311692e-47,False
6,MeanCorpuscularVolume_Avg_chronic,MeanCorpuscularVolume_Avg_acute,0.6856764878143399,1.0765698468795157e-43,False
7,MeanCorpuscularVolume_Avg_chronic,MeanCorpuscularVolume_Avg_preclinical,0.6517580873818813,2.8756104369227965e-38,False
8,MeanCorpuscularVolume_Avg_preclinical,MeanCorpuscularVolume_Avg_acute,0.7032729033832503,8.202991210311108e-47,False
9,MeanCorpuscularVolume_Avg_preclinical,MeanCorpuscularVolume_Avg_chronic,0.6517580873818813,2.8756104369227965e-38,False
10,ImmunoglobulinE_Avg_chronic,ImmunoglobulinE_Avg_acute,-0.2695592626505881,1.778978376561634e-06,False
11,ImmunoglobulinE_Avg_acute,ImmunoglobulinE_Avg_chronic,-0.2695592626505881,1.778978376561634e-06,False
12,EosinophilsPercentage_Avg_chronic,EosinophilsPercentage_Avg_acute,0.25131472887613554,8.891764143844243e-06,False
13,EosinophilsPercentage_Avg_chronic,EosinophilsPercentage_Avg_preclinical,0.28673233230499595,3.499037830759655e-07,False
14,EosinophilsPercentage_Avg_acute,EosinophilsPercentage_Avg_chronic,0.25131472887613554,8.891764143844243e-06,False
15,EosinophilsPercentage_Avg_acute,EosinophilsPercentage_Avg_preclinical,0.2717902233071683,1.4491542311328498e-06,False
16,EosinophilsPercentage_Avg_preclinical,EosinophilsPercentage_Avg_chronic,0.28673233230499595,3.499037830759655e-07,False
17,EosinophilsPercentage_Avg_preclinical,EosinophilsPercentage_Avg_acute,0.2717902233071683,1.4491542311328498e-06,False
18,EosinophilCountAbsolute_Avg_chronic,EosinophilCountAbsolute_Avg_preclinical,0.3990251280317211,4.3846677547499817e-13,False
